term,count_discordant,count_concordant,freq_discordant,freq_concordant,fold_enrichment,fisher_pval,odds_ratio
Formation of the beta-catenin:TCF transactivating complex,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
NOTCH2 intracellular domain regulates transcription,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Cristae formation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Constitutive Signaling by NOTCH1 PEST Domain Mutants,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
SUMOylation of transcription factors,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Peptide ligand-binding receptors,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RHO GTPases activate CIT,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Apoptotic factor-mediated response,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Other interleukin signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Mitotic Metaphase and Anaphase,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Gap junction assembly,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
XBP1(S) activates chaperone genes,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
ERKs are inactivated,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Resolution of Sister Chromatid Cohesion,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Formation of TC-NER Pre-Incision Complex,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling downstream of RAS mutants,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Anchoring of the basal body to the plasma membrane,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Transcriptional Regulation by MECP2,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Defective GALNT3 causes HFTC,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Sensory Perception,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling by NOTCH1 PEST Domain Mutants in Cancer,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling by NOTCH1,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
G-protein mediated events,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling by NODAL,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RHOG GTPase cycle,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
