entrez_id,corr_cnv_mrna,pval_cnv_mrna,corr_mrna_prot,pval_mrna_prot,corr_cnv_prot,pval_cnv_prot,n_samples_cnv_mrna,n_samples_mrna_prot,n_samples_cnv_prot,gene_symbol,category
2023,0.2980216390294971,8.990031355889662e-19,0.600731550560444,2.932033484089003e-82,0.2456585457696914,7.839838685357217e-13,844,827,827,ENO1,intermediate
2026,0.127902670434835,0.00019485744139014543,0.5396440353223791,1.114989525586762e-63,-0.04983935707610222,0.15214874456488062,844,827,827,ENO2,transcriptional_discordant
2034,-0.08183826382726198,0.01740658365404084,-0.3402210526077023,7.343392640181791e-21,0.03887838083109693,0.29885603071416095,844,716,716,KAT2A,mixed_discordant
2064,0.7194285370955578,2.017065752936307e-135,0.7775070568216707,8.686076242087872e-172,0.7127339277577328,8.070204200267602e-132,844,844,844,ERBB2,concordant
2065,0.30676473129930176,7.540333188494178e-20,0.3931196719279771,1.4040240085745893e-32,0.1569251777258618,4.636636419241818e-06,844,844,844,ERBB3,concordant
2067,0.2779330979751589,1.9511495228968579e-16,-0.0059812787801745435,0.8622504054936713,0.04643974350498166,0.1776969110327327,844,844,844,ERCC1,intermediate
2072,0.35087582732440326,7.404626392038195e-26,0.22961931466198326,2.3441063986450247e-11,0.0991209409661587,0.004328154825185568,844,827,827,ERCC4,intermediate
2073,0.3197040412330311,1.6460274754371222e-21,0.20840200134421738,9.796365563990976e-10,0.105795258519797,0.0020866398891905007,844,844,844,ERCC5,intermediate
208,0.36590041128529827,3.9105175696130914e-28,0.36005578142817485,1.0221780329277855e-26,0.1558305278588525,6.729638581764479e-06,844,827,827,AKT2,concordant
2099,-0.035346479659799104,0.3050456616754733,0.8810807841186672,5.0191932433242585e-276,-0.005149413286994649,0.8812550755026604,844,844,844,ESR1,transcriptional_discordant
2101,0.2404840100992866,1.4387397934294658e-12,0.2077867100396369,1.615732419771511e-09,0.14515324251098438,2.787617697968088e-05,844,827,827,ESRRA,intermediate
2113,-0.019023648759130096,0.5810170201085576,0.30718943371842056,6.670668828150129e-20,0.03640690188355305,0.29075614280956197,844,844,844,ETS1,transcriptional_discordant
2122,-0.07864405903344057,0.022318957196277425,0.44010578040285836,1.6953945935107855e-40,-0.044183769008679284,0.20432783262350707,844,827,827,MECOM,transcriptional_discordant
2147,0.02227346478984394,0.5181481002427331,-0.03256179357455928,0.3496692938880224,0.09883388525338258,0.004442605781844671,844,827,827,F2,mixed_discordant
2180,0.1234069087404524,0.00032612911974584885,0.38974949290034144,2.1544652036240665e-31,0.058896798603942944,0.09052426001007946,844,827,827,ACSL1,transcriptional_discordant
2194,0.2594419149657582,2.0342741512643737e-14,0.7227017332784738,3.1983576858528847e-137,0.2827934860493728,6.009877361976367e-17,842,844,842,FASN,intermediate
2195,-0.005177838293473529,0.8806044902412757,0.11691301390303577,0.0007554777455834707,0.036903108845428176,0.28914413564644115,844,827,827,PTK2B,mixed_discordant
2247,-0.06250536408001285,0.06952861013038471,0.6670985763720401,1.3582317699174478e-107,-0.03471879977187851,0.318657683621588,844,827,827,FGF2,transcriptional_discordant
2305,0.42607103345157055,1.5138741210946614e-38,0.6699310373669363,5.025195356388592e-111,0.38720733270492047,1.4088645397082203e-31,844,844,844,FOXM1,concordant
2309,0.44886478736398483,4.440549295108356e-43,0.2620033726883838,1.0268251175945843e-14,0.32716578621173353,1.6633794825894888e-22,844,844,844,FOXO3,intermediate
2315,0.1477296285404331,1.639223196123554e-05,-0.013104230674982453,0.7066994643685159,0.07096016394732632,0.04133735627789037,844,827,827,MLANA,mixed_discordant
2316,-0.02375658237587399,0.4906703668581861,0.06788814346170152,0.048653405265835156,-0.033434567836070156,0.3319657570902097,844,844,844,MAPK8,mixed_discordant
23192,0.2563245090516067,3.959533749144893e-14,0.2301687880232084,2.0950627525337893e-11,0.09903561110580558,0.004361894494879642,844,827,827,ATG4B,intermediate
23241,0.2955935434081586,1.7628586434746136e-18,-0.04512441114133511,0.1948488295705814,-0.07851312649030796,0.0239505936108296,844,827,827,PHLPP1,intermediate
2335,0.10016674997666894,0.003579419465327668,0.45474399073737815,2.6386203370736664e-44,0.04965476532215623,0.14949840458073244,844,844,844,FN1,transcriptional_discordant
23371,0.04450279172136898,0.19649411021195995,0.1562547057175796,6.347459766358526e-06,0.021300855025827303,0.5407332765040932,844,827,827,ACSS1,intermediate
23476,0.3864810265522755,1.8642162360719054e-31,0.2731152662909311,6.651997260244698e-16,0.20369524580431117,2.348879590592611e-09,844,844,844,BRD4,intermediate
23548,0.10912754914550593,0.001497710343459273,0.03583483344015543,0.30334061677853835,-0.04497856356167759,0.19629708615460795,844,827,827,HMHA1,mixed_discordant
23604,0.13927806417576336,4.905822986441153e-05,0.002187206824841817,0.9499227606288632,0.01180815891091122,0.7345550368872426,844,827,827,DAPK2,mixed_discordant
2475,0.2357079980081606,4.047456979280665e-12,0.08817000266668906,0.010386693818092515,0.13900423248007274,5.0779917739489976e-05,844,844,844,MTOR,intermediate
25,0.2559369259141949,4.3363998510981184e-14,0.021673409030229122,0.533675084291927,-0.0018175873144731253,0.9583769452207513,844,827,827,ABL1,intermediate
253260,0.1751192773316355,3.0621680924397044e-07,0.1829514104816727,8.679243000068328e-08,0.05741630956391504,0.09552567917774256,844,844,844,RICTOR,intermediate
2539,0.212994656610785,4.0903134050662445e-10,0.5715607865153622,2.300518147557806e-74,0.12044315223655645,0.00045376382930473153,844,844,844,G6PD,intermediate
25937,0.15280453197649396,8.239720509729723e-06,0.26007717422743765,1.628961238932888e-14,0.03980860093953803,0.2479878185600316,844,844,844,WWTR1,intermediate
2597,0.4470693135130337,1.0401966841931599e-42,0.5353009179876197,9.464259772067242e-64,0.2677029277090326,2.563250637682324e-15,844,844,844,GAPDH,concordant
26088,0.35826889307444276,5.8099629866934e-27,0.13878506724229922,6.215297456300171e-05,0.09156269970431666,0.00842172028985334,844,827,827,MRAP,post_transcriptional_discordant
26227,0.2974306012008115,1.0597591821885592e-18,0.6216180437694065,1.4102943772487277e-89,0.24768083603837146,5.018416100838032e-13,844,827,827,PHGDH,intermediate
2625,-0.3058702841483013,9.75421415182058e-20,0.8054168540466546,1.8419520544806282e-193,-0.22190630076331624,7.094942551360945e-11,844,844,844,GATA3,transcriptional_discordant
2627,0.0749196496041926,0.02952722528683748,0.1613773465551267,1.4307390109535211e-05,0.06347215247930982,0.08966960576664793,844,716,716,GATA6,intermediate
2697,-0.06201561128453907,0.07174688076557043,0.7697757381319756,5.1339781081032585e-163,0.03113814238006872,0.3711502049517952,844,827,827,GJA1,transcriptional_discordant
27113,0.10155309912591005,0.0031413736187050263,0.33450453071621955,4.539242739806426e-23,0.07566276878368347,0.02957706040961178,844,827,827,BBC3,transcriptional_discordant
27250,0.1138930151351881,0.0009175117262227816,0.40140954862720585,5.110498302125812e-34,0.05467766104587961,0.11244219614528835,844,844,844,PDCD4,transcriptional_discordant
2729,0.2017464390887694,3.3533556919890883e-09,0.32764421849909453,3.799865429896104e-22,0.10322594629485488,0.002958822380622792,844,827,827,GCLC,intermediate
2730,0.2888253413401948,1.1136576939358948e-17,-0.05936217228002965,0.0880012568403702,-0.005933663565034587,0.8647102208032158,844,827,827,GCLM,intermediate
2735,-0.06829713987186072,0.04730911523864179,-0.1899218973328159,3.72102512537128e-08,0.04092819313942874,0.2397110527886817,844,827,827,GLI1,mixed_discordant
2737,0.026794368488848662,0.43691851750675087,0.44156647676094213,8.739424581190667e-41,0.08529842936002083,0.014137847420051062,844,827,827,GLI3,transcriptional_discordant
2744,0.18245495593169037,9.41680010155062e-08,0.4931188537102442,6.866315585281043e-52,0.13018804866835854,0.0001738803429330982,844,827,827,GLS,intermediate
