gene_a,gene_b,gene_a_label,gene_b_label,corr_mrna,corr_protein,corr_cross_ab,corr_cross_ba,n_samples_mrna,n_samples_protein,predicate_group
8352,8356,HIST1H3A (human),HIST1H3D (human),0.5090326644365233,,,,878,0,genetically interacts with
8360,8364,HIST2H4B (human),HIST1H4E (human),0.528257931215816,,,,878,0,genetically interacts with
80760,3198,ITIH5 (human),HOXA1,0.2447710911227367,,,,878,0,genetically interacts with
266740,392433,MAGEA2B (human),MAGEB6B,0.1866914454209433,,,,878,0,genetically interacts with
8343,8335,HIST1H2BG (human),HIST1H2AB (human),0.37200927158659547,,,,878,0,genetically interacts with
8347,8343,HIST1H2BI (human),HIST1H2BG (human),0.6725337367931108,,,,878,0,genetically interacts with
8359,3021,HIST1H4E (human),H3F3A (human),-0.06503967990769825,,,,878,0,genetically interacts with
9085,283869,CDY1B (human),NPW (human),,,,,878,0,genetically interacts with
391747,646103,TAF11L6,TAF11L3,,,,,878,0,genetically interacts with
57824,339366,HMHB1 (human),ADAMTSL5 (human),-0.022574204893440968,,,,878,0,genetically interacts with
8347,440686,HIST1H2BI (human),H3-2 (human),0.03626776140056674,,,,878,0,genetically interacts with
276,23467,AMY1B (human),NPTXR (human),,,,,0,0,genetically interacts with
6757,100529215,SSX2B (human),ZNF177 (human),-0.05199464659182312,,,,878,0,genetically interacts with
728373,728379,USP17L24 (human),USP17L28 (human),,,,,0,0,genetically interacts with
8357,8351,HIST1H3E (human),HIST1H3F (human),0.2376883558545021,,,,878,0,genetically interacts with
8353,8968,HIST1H3J (human),HIST1H3C (human),0.25427658412608245,,,,878,0,genetically interacts with
102724334,8346,H2BS1 (human),HIST1H2BI (human),0.04447401785133726,,,,878,0,genetically interacts with
8352,8347,HIST1H3A (human),HIST1H2BI (human),0.24553481815187944,,,,878,0,genetically interacts with
6757,727837,SSX2B (human),SSX2 (human),0.48665659372910774,,,,878,0,genetically interacts with
8355,8366,HIST1H3J (human),HIST1H4D (human),0.3380473579586498,,,,878,0,genetically interacts with
114483833,3020,H2BE1 (human),H3F3B (human),-0.072104727763256,,0.06493523900192527,,878,0,genetically interacts with
100506164,159119,HSFX1 (human),HSFY1 (human),0.012461795093179923,,,,878,0,genetically interacts with
341277,80319,OVCH2 (human),CXXC4 (human),0.07487732047669926,,,,878,0,genetically interacts with
8364,8363,HIST1H4E (human),HIST1H4B (human),0.29816290311695626,,,,878,0,genetically interacts with
8357,8343,HIST1H3E (human),HIST1H2BG (human),0.6917743917632133,,,,878,0,genetically interacts with
8969,8352,HIST1H2AG (human),HIST1H3A (human),0.45724053411690296,,,,878,0,genetically interacts with
29057,5343,FAM156A (human),PLGLB1 (human),,,,,0,0,genetically interacts with
148345,102724101,C1orf127 (human),TP53TG3 (human),,,,,878,0,genetically interacts with
